,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
MAP2K3,0.00,0.01,-0.13,0.84,-0.01,0.03,0.15,0.89,-0.07,0.42,0.19,1.45
CDC42,0.34,2.58,0.31,2.07,0.15,1.51,0.12,1.77,0.18,2.06,0.17,1.60
NT5E,-2.54,3.43,-2.17,3.42,-0.53,1.90,-0.60,2.02,-0.04,0.12,-0.66,2.06
MIA2,-0.14,0.81,0.15,0.61,0.01,0.03,0.00,0.00,-0.06,0.24,-0.05,0.20
UTP15,-0.09,0.62,-0.17,2.12,0.25,1.46,0.18,2.08,0.11,0.78,0.09,0.92
PRIM2,-0.10,0.43,0.11,0.46,0.19,1.34,-0.08,0.36,-0.06,0.32,0.12,0.74
PSMB7,0.41,1.71,0.63,2.72,0.25,1.20,0.30,1.37,0.03,0.10,0.20,0.97
RPUSD2,0.02,0.04,-0.09,0.20,0.13,0.38,-0.04,0.12,0.07,0.17,-0.05,0.12
BCCIP,-0.47,0.76,-0.35,0.59,-0.19,0.30,-0.30,0.51,-0.11,0.17,-0.12,0.19
DDOST,-0.23,0.68,-0.26,0.85,-0.20,0.63,-0.44,1.30,-0.51,1.47,-0.17,0.54
PPP3CB,-0.25,0.51,-0.52,0.64,0.26,0.46,0.00,0.00,-0.40,0.98,0.33,0.84
SNX5,-0.25,1.67,-0.16,1.12,-0.35,2.21,-0.14,0.83,-0.01,0.04,0.10,0.72
CTU2,-0.19,0.58,-0.47,1.38,-0.08,0.23,-0.06,0.15,0.09,0.29,-0.18,0.54
ADAM10,0.21,1.25,-0.16,2.31,-0.10,0.97,-0.09,0.46,-0.25,1.26,-0.10,0.38
PSMD8,0.39,2.34,0.70,3.47,0.36,2.59,0.19,1.42,0.03,0.21,0.24,2.05
EWSR1,-0.14,0.32,-0.22,0.61,-0.07,0.16,-0.03,0.06,-0.32,0.87,0.00,0.01
MYCBP2,-0.38,2.39,-0.23,0.76,0.02,0.13,0.06,0.21,-0.10,0.41,-0.12,0.60
RPL27,-0.32,1.18,-0.28,1.15,-0.07,0.24,-0.18,0.74,-0.09,0.28,-0.18,0.73
HIBCH,-0.09,0.45,0.09,0.55,-0.25,1.28,0.00,0.02,0.22,1.10,-0.05,0.24
ZMPSTE24,0.05,0.23,-0.24,1.17,-0.18,0.90,-0.11,0.38,-0.17,0.58,-0.16,0.67
MRPL39,-0.09,1.28,-0.13,1.52,0.27,3.29,0.10,1.39,0.11,1.73,-0.01,0.17
BCAS2,0.45,3.17,0.34,2.47,0.44,2.28,0.37,1.87,0.43,2.01,0.48,3.17
CNPY2,-0.23,1.18,-0.58,2.32,0.01,0.03,-0.24,1.01,-0.08,0.35,0.14,0.65
SLC25A13,-0.05,0.07,-0.34,0.51,-0.22,0.33,-0.12,0.17,-0.23,0.35,-0.25,0.36
ADK,0.08,0.52,0.05,0.31,0.42,2.39,-0.03,0.20,0.05,0.23,0.20,1.14
RFC3,-0.52,1.94,-0.37,1.36,-0.30,1.37,-0.32,1.44,-0.50,1.84,-0.21,0.95
HELZ,0.16,0.25,0.33,0.65,0.40,0.65,0.23,0.38,0.04,0.06,0.12,0.17
RPL28,0.02,0.14,-0.06,0.96,0.14,1.32,0.07,0.80,0.10,0.61,0.01,0.17
PCCA,-0.05,0.06,-0.05,0.07,-0.08,0.11,0.18,0.29,-0.09,0.12,0.02,0.02
ANAPC1,-0.14,0.33,0.03,0.06,0.25,0.41,0.22,0.76,0.26,0.43,0.08,0.14
PHF3,-0.05,0.18,0.02,0.07,0.08,0.29,0.05,0.21,-0.07,0.23,0.00,0.01
LYN,0.14,0.78,0.07,0.45,0.18,1.08,0.15,1.11,0.08,0.45,0.12,0.81
RPL26,0.00,0.02,-0.07,0.55,0.16,1.12,0.00,0.02,0.10,0.60,0.01,0.10
FLOT1,0.08,0.25,-0.13,0.32,0.00,0.00,-0.19,0.84,-0.05,0.14,0.19,0.63
AARSD1,-0.34,1.52,-0.21,0.94,0.13,0.53,0.09,0.37,-0.31,1.45,-0.07,0.31
YTHDF2,0.09,1.15,0.23,3.14,0.28,3.13,0.28,3.58,0.06,0.38,0.21,1.59
PFDN6,0.14,1.48,0.19,2.64,0.18,2.47,0.18,2.62,-0.03,0.33,0.16,1.44
EXOSC5,-0.35,3.49,-0.33,2.60,-0.03,0.25,0.17,1.48,-0.58,3.43,0.12,2.10
PSME4,0.43,1.48,0.78,3.90,0.32,1.92,0.31,2.05,0.38,1.86,0.27,1.67
RAB21,0.17,3.01,0.14,1.19,0.13,4.05,0.02,1.63,-0.19,3.21,0.01,0.12
MVD,-0.37,1.54,-0.30,1.59,0.49,2.46,-0.17,1.05,-0.41,2.22,0.13,0.57
COX4I1,-0.10,1.18,-0.20,1.51,-0.11,0.79,-0.05,0.44,-0.06,0.15,-0.11,0.68
FRYL,0.36,1.44,0.56,2.36,0.22,0.82,-0.07,0.27,0.44,1.79,0.58,2.02
STT3A,-0.06,0.29,-0.29,1.97,-0.14,1.91,-0.30,2.32,-0.24,1.36,-0.05,0.26
GATAD2B,-0.18,1.21,0.17,1.21,0.13,1.79,0.10,0.80,0.14,1.21,0.39,1.59
NCAPD3,0.03,0.06,0.31,0.54,0.17,0.36,0.00,0.00,0.13,0.16,0.18,0.26
KAT7,0.15,0.55,0.33,1.60,0.27,1.44,0.13,0.58,0.19,0.84,0.39,1.79
POLDIP2,-0.19,1.15,-0.14,0.83,0.02,0.14,0.06,0.27,0.21,1.65,0.04,0.28
DDX52,-0.36,1.13,-0.48,1.64,0.03,0.07,-0.05,0.12,-0.06,0.14,0.07,0.18
ATXN10,-0.05,0.12,-0.02,0.04,0.04,0.11,0.17,0.50,0.17,0.61,0.23,0.78
CTBP1,-0.06,0.27,0.13,0.79,-0.12,0.60,0.14,0.97,-0.13,0.43,0.07,0.32
ECI2,0.26,2.62,0.69,3.01,0.25,1.84,0.24,1.47,-0.18,1.60,-0.12,0.83
ATP5PO,-0.07,0.55,0.04,0.29,-0.18,1.44,0.10,0.63,0.19,1.07,0.09,0.49
RMDN1,-0.45,2.80,-0.19,0.92,-0.06,0.26,-0.32,1.77,-0.54,2.12,-0.15,1.23
GTPBP1,-0.46,1.61,-0.09,0.26,0.09,0.29,0.12,0.42,-0.17,0.66,0.00,0.00
MIF,-0.99,1.75,-0.59,1.43,-0.46,1.16,-0.35,0.88,-0.17,0.42,-0.43,1.09
RPL22,0.16,0.93,0.07,0.49,0.26,1.73,0.15,0.73,-0.10,0.55,0.12,0.71
YARS2,0.13,1.08,-0.03,0.34,0.02,0.28,0.10,1.33,0.15,1.27,0.01,0.11
EPCAM,-1.72,3.38,-1.83,3.50,0.16,0.84,-0.21,0.96,-1.14,3.03,-0.13,0.65
SRRM1,-0.20,1.38,-0.19,1.17,-0.17,0.95,-0.13,0.83,-0.12,0.71,0.01,0.07
AAAS,-0.02,0.15,0.01,0.04,0.17,1.31,0.13,0.79,0.00,0.03,-0.02,0.09
UBE2N,-0.28,1.71,-0.28,1.68,-0.14,1.02,-0.20,1.20,-0.30,1.62,-0.14,0.89
ABLIM1,0.59,0.86,0.58,1.11,0.14,0.24,0.25,0.45,0.93,1.77,0.48,0.84
ACBD3,-0.18,2.00,-0.10,1.43,-0.18,0.93,-0.14,0.97,-0.45,1.72,-0.25,1.52
TERF2,-0.01,0.03,0.28,1.39,-0.47,2.19,0.07,0.41,-0.02,0.07,0.05,0.17
CCDC124,-0.13,0.50,-0.14,0.62,0.08,0.35,0.07,0.28,0.19,0.76,0.12,0.59
AP3M1,-0.01,0.04,0.05,0.23,0.00,0.01,0.05,0.28,0.03,0.21,-0.05,0.21
CASP8,-0.27,0.88,0.53,2.75,0.45,2.51,0.02,0.05,0.19,0.85,0.05,0.19
BRIX1,-0.22,1.42,-0.20,1.33,0.12,0.85,0.01,0.05,0.01,0.03,0.10,0.47
MINK1,-0.59,0.93,-0.32,0.51,-0.14,0.18,0.03,0.05,-0.31,0.43,-0.01,0.01
NIBAN2,-0.17,0.65,-0.35,1.24,0.13,0.55,0.08,0.31,-0.04,0.14,-0.14,0.56
NUDT21,-0.01,0.06,0.00,0.02,0.03,0.54,-0.05,0.44,-0.03,0.23,0.14,2.29
MTA3,0.79,3.02,0.76,2.27,0.62,2.24,0.31,1.26,0.21,0.89,0.62,2.26
TBCB,0.47,3.03,0.54,3.13,0.47,2.88,0.38,2.35,0.62,3.21,0.55,2.88
AATF,-0.14,0.61,-0.25,1.10,0.17,0.98,0.07,0.37,0.24,0.99,0.13,0.44
FAM98A,-0.32,0.79,-0.19,0.56,-0.13,0.34,-0.21,0.55,-0.32,0.79,-0.33,0.85
ENDOD1,-0.11,0.42,0.10,0.46,0.11,0.45,0.09,0.33,0.44,1.73,0.25,0.91
GPATCH4,0.27,1.63,-0.23,1.49,0.21,1.42,0.14,1.06,-0.02,0.12,-0.16,0.96
KPNA6,-0.05,0.18,-0.05,0.17,-0.08,0.30,-0.03,0.10,-0.39,1.43,-0.19,0.73
MRPL45,-0.24,2.89,-0.24,2.81,0.09,0.93,0.00,0.06,-0.05,0.55,-0.21,1.75
SMG8,0.41,2.27,0.59,2.62,0.62,3.34,0.16,1.37,0.07,0.44,0.18,1.04
STXBP1,0.30,1.88,0.18,0.65,-0.11,0.60,0.25,1.89,-0.02,0.08,0.06,0.32
RPS6KA3,-0.08,0.27,0.36,1.50,0.04,0.13,0.24,1.00,0.14,0.49,0.15,0.50
TSG101,-0.25,0.86,-0.12,0.55,-0.22,0.90,-0.12,0.45,-0.21,0.96,-0.14,0.57
PCYOX1,0.43,1.61,0.02,0.09,0.05,0.30,0.09,0.51,0.10,0.48,0.14,0.81
PLK1,0.80,4.26,0.52,2.35,0.51,3.13,0.10,0.27,0.19,0.65,0.63,2.05
TRIP11,-0.02,0.05,-0.16,0.44,0.12,0.50,0.10,0.44,-0.09,0.33,0.17,0.96
PDHX,-0.33,1.09,-0.12,0.41,0.19,0.77,0.01,0.03,-0.31,1.01,-0.06,0.17
JPT2,0.02,0.19,0.24,2.27,0.50,2.74,0.12,1.87,-0.27,2.80,0.19,1.81
CLPP,-0.23,1.46,-0.33,2.02,-0.36,2.13,-0.05,0.31,-0.07,0.44,-0.09,0.41
IKBIP,0.52,2.10,0.11,0.21,-0.51,1.10,-0.18,0.67,0.00,0.01,-0.24,0.53
SBNO1,0.26,1.46,0.29,1.44,0.35,2.04,0.22,0.96,0.00,0.00,0.36,1.51
PIK3R4,0.07,0.39,0.05,0.27,0.12,0.68,0.12,0.42,0.00,0.01,0.20,0.77
KIF14,0.32,2.61,0.53,2.69,0.41,3.19,0.29,2.44,0.02,0.12,0.34,1.70
TPD52,-0.12,0.21,-0.17,0.44,-0.20,0.51,-0.17,0.41,0.19,0.53,-0.04,0.07
CHUK,0.00,0.01,0.15,0.78,0.14,0.83,0.06,0.31,-0.21,1.19,0.01,0.03
DUT,-0.83,3.23,-0.63,2.61,-0.01,0.05,-0.38,1.91,-0.33,1.76,0.11,0.80
RPL21,-0.01,0.05,-0.08,0.55,0.13,1.17,0.03,0.26,0.04,0.26,0.00,0.01
ECH1,0.05,0.17,-0.01,0.05,-0.10,0.30,-0.02,0.06,-0.27,1.11,-0.15,0.64
ARRB1,0.75,2.24,0.71,2.60,0.32,1.86,0.29,1.60,0.23,2.17,0.22,1.28
ERLIN2,-0.03,0.08,-0.43,1.41,-0.17,0.57,0.02,0.06,-0.37,1.24,-0.38,1.20
CACTIN,0.12,0.43,-0.06,0.18,0.05,0.11,0.16,0.53,-0.22,0.57,0.01,0.02
EPB41L1,0.67,1.78,-0.19,0.94,0.57,1.88,0.02,0.08,-0.42,1.92,-0.20,1.05
RELA,-0.16,0.39,-0.24,0.51,-0.22,0.56,-0.21,0.53,-0.37,1.00,-0.25,0.66
FKBP15,0.17,1.61,0.28,1.88,0.24,1.30,0.19,1.56,0.22,1.15,-0.07,0.40
GIPC1,0.35,1.41,0.22,0.93,0.30,1.17,-0.05,0.22,0.02,0.07,0.24,1.07
BRAT1,0.19,0.56,0.06,0.24,0.05,0.15,0.11,0.37,0.06,0.15,0.22,1.09
MPHOSPH8,0.10,0.24,0.26,1.04,0.24,0.86,0.17,0.42,0.06,0.17,0.21,0.61
TRIM33,-0.01,0.08,0.31,4.47,0.26,1.96,0.17,1.40,0.14,2.04,0.20,1.81
INTS3,-0.39,3.64,-0.11,2.05,-0.10,1.09,-0.07,0.33,-0.26,3.48,-0.32,4.28
MRPS2,-0.17,0.26,-0.26,0.41,0.08,0.12,-0.17,0.27,-0.09,0.13,-0.20,0.32
TAF6,-0.11,0.48,-0.33,1.39,0.03,0.09,-0.09,0.31,-0.59,2.02,0.02,0.06
FERMT1,0.08,0.17,-0.57,2.00,0.29,0.92,0.02,0.07,0.01,0.02,-0.13,0.54
WDR70,0.16,0.72,0.13,0.60,0.14,0.43,0.17,0.89,0.06,0.20,0.25,1.29
NUCB2,-0.14,0.68,-0.17,1.23,-0.16,0.76,-0.29,1.75,-0.23,1.08,-0.18,1.64
TFB1M,-0.62,1.68,-0.40,1.24,-0.13,0.38,-0.30,0.96,-0.11,0.30,-0.26,0.82
ACTN3,-0.97,1.45,-1.17,1.79,-1.06,1.89,-1.12,4.87,-1.40,2.37,-0.84,2.30
RALB,0.06,0.35,-0.09,0.60,0.41,1.75,-0.05,0.17,-0.11,0.72,-0.08,0.51
ARHGEF12,-0.31,0.88,0.09,0.15,0.05,0.08,-0.13,0.31,0.04,0.08,-0.05,0.10
RHOG,0.08,0.54,-0.01,0.06,-0.20,1.22,-0.15,0.94,-0.15,0.99,0.04,0.21
PRPS2,-0.42,1.18,-0.33,0.93,-0.06,0.15,-0.22,0.66,-0.16,0.40,-0.18,0.51
AGPAT5,0.30,1.81,0.26,1.32,0.06,0.24,0.23,1.21,-0.13,0.79,0.01,0.03
RPIA,-0.14,0.83,-0.13,0.98,0.10,0.85,0.02,0.19,0.31,2.27,0.24,1.61
LZTFL1,-0.54,1.52,-0.40,2.37,-0.31,1.77,-0.17,0.76,-0.15,0.58,-0.37,1.33
NVL,-0.05,0.05,-0.18,0.27,-0.41,0.56,-0.14,0.20,-0.24,0.27,-0.27,0.31
CPNE7,-0.71,1.93,-0.40,1.92,-0.04,0.17,0.13,0.77,0.29,1.67,0.31,1.90
RAP1GDS1,-0.16,0.68,-0.05,0.18,0.01,0.02,-0.08,0.37,-0.13,0.57,0.10,0.50
DDX20,-0.10,1.02,-0.21,2.64,-0.08,0.68,-0.06,0.46,-0.07,0.46,-0.02,0.11
KLC3,-0.51,1.50,-0.76,1.92,0.38,1.34,-0.21,0.67,-0.51,1.61,-0.12,0.40
SRP19,0.02,0.06,0.06,0.20,0.43,1.68,0.12,0.53,0.19,0.47,0.18,0.58
RPF1,-0.05,0.19,-0.13,0.70,0.18,1.01,0.12,0.59,0.13,0.72,0.33,1.49
RPL9,0.01,0.21,-0.05,0.79,0.10,2.10,0.04,0.91,0.10,1.35,0.04,0.48
ARF5,0.03,0.19,0.04,0.28,-0.43,1.72,0.03,0.13,0.20,1.49,0.12,0.63
VAPB,-0.26,0.50,-0.02,0.04,0.05,0.09,0.03,0.05,-0.09,0.15,-0.04,0.06
SYNRG,0.00,0.02,0.35,2.10,0.11,0.50,0.04,0.23,-0.10,0.62,0.13,0.85
C9orf78,0.30,2.40,0.28,2.13,0.22,1.54,0.32,2.56,0.09,0.44,0.13,1.66
POLG,0.02,0.06,-0.21,0.91,0.15,0.41,-0.03,0.10,-0.03,0.05,0.00,0.00
YTHDF3,-0.18,0.60,-0.12,0.41,-0.15,0.47,-0.16,0.55,-0.17,0.50,-0.04,0.13
GDA,0.09,0.46,-0.60,2.81,0.01,0.03,0.37,2.49,-0.59,2.28,-0.14,0.65
LPCAT1,-0.09,0.11,0.14,0.23,0.56,1.17,0.16,0.28,0.12,0.17,-0.04,0.05
RALA,-0.10,0.54,-0.35,1.78,0.19,1.16,-0.14,0.74,-0.06,0.20,-0.08,0.39
USP13,0.36,2.44,0.28,1.40,0.00,0.00,0.36,1.90,0.02,0.09,0.25,1.18
UBE2V2,-0.37,1.78,-0.37,1.80,-0.12,0.54,-0.19,1.07,-0.32,1.52,-0.24,1.20
ARPC2,-0.06,0.30,0.06,0.35,0.07,0.42,-0.08,0.62,-0.04,0.20,-0.03,0.18
RPL18A,0.14,0.99,0.04,0.24,0.24,1.58,0.14,0.92,0.18,0.85,0.13,1.07
PAPSS2,0.57,2.30,0.60,2.74,0.22,1.25,-0.21,0.93,0.45,2.21,0.30,1.58
GOPC,-0.13,0.49,0.00,0.02,-0.02,0.10,-0.08,0.40,-0.42,1.83,0.02,0.06
RPF2,-0.30,1.61,-0.52,2.94,0.14,0.89,-0.09,0.60,0.10,0.35,0.05,0.14
TIMELESS,0.25,0.71,0.16,0.38,0.27,0.81,0.23,0.74,-0.05,0.11,-0.27,0.57
CHD1L,-0.29,0.89,-0.06,0.17,0.32,1.24,0.11,0.41,-0.03,0.10,-0.45,1.42
EPHX1,0.33,1.26,0.03,0.05,-0.33,1.01,-0.20,0.53,-0.43,1.16,-0.02,0.04
LRPAP1,-0.05,0.29,-0.06,0.61,0.35,3.13,-0.35,1.47,-0.10,0.61,0.01,0.05
SUGP1,0.33,0.83,0.29,0.65,0.13,0.29,0.16,0.34,0.03,0.05,0.28,0.68
P3H1,1.24,3.85,0.46,1.97,0.03,0.12,0.26,1.08,0.20,0.92,0.07,0.38
IMPDH1,0.18,0.56,-0.16,0.81,-0.17,1.38,0.11,0.38,0.24,0.81,0.01,0.02
EML3,-0.32,0.79,-0.21,0.55,-1.16,2.27,-0.01,0.02,0.15,0.40,-0.93,1.97
CDK12,0.02,0.04,-0.13,0.45,-0.08,0.26,-0.08,0.24,-0.22,0.64,0.08,0.16
PCNP,0.08,0.54,0.26,1.75,0.36,2.48,0.28,1.95,0.26,1.84,0.33,2.23
QTRT2,-0.11,0.26,-0.48,1.62,0.17,0.45,-0.14,0.53,0.05,0.13,-0.34,1.39
AKR1B1,0.33,1.93,-0.09,0.62,-0.06,0.37,0.01,0.06,0.18,0.65,-0.11,0.65
MRPS7,-0.11,0.53,-0.06,0.28,0.08,0.38,0.02,0.06,-0.03,0.10,-0.23,1.23
IDH2,-0.41,1.89,-0.16,1.01,0.19,1.36,-0.14,0.65,-0.22,1.52,-0.26,1.78
EHMT1,0.02,0.11,0.05,0.30,0.30,1.69,0.10,0.40,-0.04,0.10,0.19,1.28
PRPSAP2,0.00,0.05,0.04,0.19,0.16,2.41,-0.03,0.15,-0.17,2.10,0.14,2.09
CDC42EP4,0.08,0.13,0.15,0.51,0.13,0.44,0.32,1.23,-0.04,0.11,0.13,0.40
HRAS,0.40,1.02,0.35,0.95,0.21,0.71,0.16,0.52,0.00,0.00,0.39,0.70
HOOK1,-0.73,3.34,-0.45,2.38,0.27,1.78,0.06,0.42,-1.24,3.98,0.03,0.33
CMPK1,-0.03,0.12,0.27,1.32,0.13,0.53,0.08,0.36,0.21,0.88,-0.04,0.13
RPL26L1,0.18,0.98,0.06,0.25,-0.20,0.81,-0.13,0.50,0.20,1.09,-0.13,0.64
THOC6,0.46,1.97,0.22,0.62,0.31,1.54,0.24,0.94,0.26,0.61,0.45,2.15
MAGEB2,-0.31,1.79,0.00,0.02,-0.09,0.47,-0.16,1.05,-0.20,1.18,-0.06,0.38
ACADSB,-0.21,1.27,-0.22,1.34,-0.32,1.51,-0.13,0.80,0.21,0.88,-0.26,1.21
TIA1,0.86,0.59,0.45,0.52,0.37,0.36,0.76,0.76,0.11,0.08,0.63,0.64
GAA,-0.11,0.48,-0.35,1.41,-0.12,0.56,0.04,0.16,0.17,0.91,-0.58,2.17
LBR,0.07,0.71,0.29,3.35,-0.05,0.46,0.14,1.28,0.26,1.45,0.04,0.38
NAPG,0.13,0.58,0.22,1.55,0.29,1.75,0.25,1.32,0.05,0.26,-0.60,2.34
F11R,-0.48,2.16,-1.02,3.17,0.21,1.13,-0.06,0.25,-0.43,1.96,0.09,0.44
UBE2S,1.49,3.70,1.37,3.49,0.64,1.48,0.51,1.32,0.17,0.28,0.98,3.34
YKT6,-0.04,0.33,0.14,1.64,0.05,0.70,0.03,0.39,-0.28,2.01,0.00,0.02
MMUT,-0.48,1.23,-0.22,0.58,-0.20,0.51,-0.09,0.21,-0.06,0.15,0.08,0.22
NDUFAF2,0.02,0.04,-0.30,0.92,0.06,0.16,0.12,0.37,0.16,0.44,-0.13,0.38
NQO1,-0.18,1.67,0.09,0.54,-0.35,2.61,-0.26,1.91,-0.54,2.10,-0.58,2.23
ESRP1,-2.03,3.44,-2.06,3.42,-0.04,0.11,-0.26,0.94,-1.03,2.68,0.16,0.52
TFCP2,-0.14,0.38,-0.18,0.72,-0.03,0.08,-0.19,0.75,-0.12,0.28,0.07,0.16
H1FX,-0.95,2.78,-1.05,2.92,-0.51,2.06,-0.38,1.70,-0.52,2.09,0.12,0.56
CNPY3,-0.13,0.35,-0.07,0.19,0.01,0.03,0.07,0.19,-0.26,0.81,0.05,0.16
UBFD1,0.37,1.37,0.73,2.46,0.08,0.26,0.33,1.20,-0.16,0.38,-0.12,0.29
GPAT3,0.30,1.28,0.28,2.07,0.56,1.94,-0.18,0.77,0.29,1.56,0.22,0.95
GATB,-0.01,0.04,-0.07,0.24,0.14,0.65,0.08,0.25,-0.04,0.13,0.01,0.02
COPS5,0.04,0.14,0.13,0.69,0.08,0.57,0.17,1.12,-0.01,0.03,0.07,0.36
SPCS2,-0.24,0.54,-0.24,0.60,-0.17,0.44,-0.22,0.55,-0.57,1.45,-0.16,0.39
GNA11,0.21,2.90,0.27,3.09,0.35,3.94,0.22,2.95,0.03,0.14,0.12,0.90
PCYT2,0.00,0.02,-0.35,1.58,0.04,0.20,-0.21,1.26,0.07,0.29,-0.18,1.04
MPP7,-0.33,1.77,-0.46,2.54,-0.39,1.80,-0.05,0.31,-0.88,2.99,-0.14,0.95
BLVRA,0.24,1.46,0.45,1.87,0.06,0.17,0.27,0.99,0.36,1.67,-0.11,0.51
CSNK2A2,-0.11,0.39,-0.01,0.05,-0.08,0.25,-0.01,0.03,-0.15,0.49,-0.02,0.05
TTC1,0.62,2.66,0.92,3.88,0.02,0.09,0.26,2.15,-0.11,0.41,0.22,2.04
PAWR,0.55,1.73,0.21,1.01,0.18,0.89,0.14,0.74,0.06,0.14,0.16,0.40
ANKMY2,0.36,3.08,0.59,3.34,0.05,0.51,0.15,1.08,-0.11,0.30,0.16,0.91
MAK16,-0.14,0.47,-0.26,0.71,0.11,0.31,0.09,0.23,0.16,0.51,0.04,0.11
RAD23A,0.03,0.08,0.06,0.15,0.06,0.18,0.10,0.34,0.12,0.34,0.09,0.28
RIPK1,0.11,0.57,0.26,1.46,0.20,2.03,0.10,0.56,0.32,1.80,0.27,2.10
PHF6,-0.26,1.36,0.07,0.48,-0.16,1.27,0.23,1.90,-0.06,0.42,0.12,0.90
CRK,-0.04,0.29,-0.02,0.20,0.18,0.91,0.07,0.58,-0.02,0.14,0.14,0.92
PDCL3,-0.31,0.40,0.19,0.29,-0.11,0.14,-0.02,0.02,-0.16,0.21,-0.01,0.01
ARFGAP1,-0.08,0.15,-0.08,0.27,0.00,0.01,-0.16,0.39,-0.29,0.67,-0.16,0.33
WDR5,0.07,0.34,0.05,0.29,0.21,1.32,0.14,1.13,0.09,0.44,0.14,1.02
RACGAP1,0.12,0.52,0.18,0.81,0.38,1.89,0.06,0.20,-0.03,0.09,0.28,1.07
SPR,0.02,0.15,-0.20,2.01,-0.22,2.01,0.16,1.49,-0.02,0.30,-0.04,0.49
MFAP1,0.09,0.52,0.06,0.48,0.09,1.12,0.11,0.96,0.11,1.15,0.30,2.83
HACD3,-0.14,0.38,-0.23,0.74,0.01,0.01,-0.09,0.23,-0.20,0.63,0.03,0.06
CSNK1A1,-0.11,0.94,-0.01,0.07,0.26,1.68,-0.02,0.16,-0.28,2.07,-0.05,0.36
RRP15,0.34,1.46,0.02,0.12,0.34,1.56,0.17,1.33,0.09,0.24,0.11,0.93
DHFR,-0.37,2.10,-0.24,1.40,-0.19,1.22,-0.08,0.34,0.02,0.09,0.30,1.76
TMX2,0.40,0.82,-0.44,0.85,0.06,0.10,-0.33,0.66,-0.42,0.75,-0.44,0.81
RAP2B,-0.17,2.05,-0.06,0.99,0.03,0.49,0.11,1.49,0.18,2.74,-0.03,0.40
ABCD3,-0.33,3.29,0.12,1.94,0.04,0.28,-0.12,1.29,-0.18,1.18,-0.09,0.88
TYMP,-0.09,0.15,-1.22,1.93,-0.37,0.80,-0.80,1.59,-0.20,0.44,-0.73,1.52
BIN1,0.38,1.25,0.56,1.90,0.28,1.00,0.18,0.56,-0.15,0.41,0.24,0.88
ATP6V1E1,0.01,0.08,0.19,1.78,0.09,1.24,-0.04,0.28,-0.30,2.56,0.11,0.79
ALCAM,0.01,0.00,-0.08,0.08,0.31,0.41,-0.23,0.26,0.26,0.21,0.04,0.04
PLCG2,0.04,0.07,-0.04,0.09,0.47,1.50,0.24,0.58,0.05,0.09,0.09,0.21
INTS13,0.41,2.12,0.34,1.92,0.14,0.73,0.22,1.30,-0.10,0.34,0.01,0.05
NDC1,0.06,1.72,0.04,0.31,0.13,1.26,0.20,1.54,0.10,0.46,-0.03,0.21
GTF2E2,0.16,1.16,0.13,1.26,0.14,1.49,0.07,0.66,-0.15,1.48,-0.05,0.25
MRPS27,-0.60,1.45,-0.51,1.29,-0.32,0.80,-0.29,0.71,-0.34,0.82,-0.59,1.39
VIRMA,-0.06,0.14,0.05,0.10,0.06,0.14,-0.10,0.25,0.07,0.16,0.15,0.40
SMURF2,-0.76,2.43,-0.16,0.70,-0.13,0.58,-0.42,1.71,-0.38,1.32,-0.38,1.37
MAP7,-0.81,2.34,-0.92,2.44,0.43,1.72,-0.09,0.23,-0.39,1.48,0.35,1.56
PLCD3,0.25,0.58,-0.24,0.45,-0.22,0.46,0.50,1.20,0.02,0.04,-0.41,0.79
NME1,-0.68,2.53,-0.61,2.33,-0.81,2.61,-0.44,1.82,-0.44,1.47,-0.48,1.81
MARK3,-0.13,0.46,0.46,0.79,0.41,5.03,-0.08,0.19,-0.14,0.37,0.01,0.01
SACS,0.29,0.54,0.27,0.49,0.25,0.46,0.33,0.62,0.44,0.86,0.46,0.86
KIAA1522,0.05,0.34,0.32,2.11,0.49,2.28,0.43,2.11,-0.34,1.11,0.13,0.56
ERBIN,0.12,1.13,0.32,2.85,0.20,1.91,-0.03,0.13,0.16,1.24,0.29,2.08
STAMBP,-0.04,0.11,-0.26,0.82,-0.30,1.12,-0.21,0.71,-0.47,1.41,-0.03,0.08
RRAS2,0.07,1.17,-0.02,0.24,0.12,1.87,0.05,0.54,-0.01,0.13,0.12,1.00
LUC7L3,0.23,1.23,0.22,1.25,-0.02,0.10,0.25,1.25,0.42,1.98,0.28,1.48
ABCB7,-0.18,0.41,-0.15,0.38,-0.19,0.50,-0.10,0.22,-0.12,0.24,0.05,0.11
CUL5,0.09,0.57,0.25,1.71,0.04,0.25,0.24,1.09,-0.01,0.03,-0.04,0.22
EPS15,-0.32,1.16,-0.32,1.52,0.11,0.49,-0.14,0.49,-0.24,1.23,-0.18,0.74
AKAP8L,-0.01,0.02,0.05,0.19,0.50,2.55,0.05,0.20,0.00,0.00,0.27,1.25
MPST,-0.27,1.67,-0.26,1.57,0.20,0.95,-0.01,0.06,-0.34,1.88,-0.25,1.44
TLK2,0.42,1.00,0.63,1.55,0.18,0.25,0.05,0.10,0.46,0.75,0.06,0.09
MAP3K7,0.26,1.51,0.47,2.58,0.22,1.31,0.32,2.12,0.14,0.76,0.25,1.57
REPS1,-0.23,0.88,-0.13,1.39,0.09,1.36,-0.04,0.18,-0.08,0.33,0.04,0.22
